Trial,Seed,Dominating_Route,Dominated_Route
77,100076,Direct_Earth_to_Mars,Earth_Relay1_Mars
77,100076,Direct_Earth_to_Mars,Earth_Relay2_Mars
77,100076,Earth_Relay0_Mars,Earth_Relay1_Mars
77,100076,Earth_Relay2_Mars,Earth_Relay0_Mars
77,100076,Earth_Relay2_Mars,Earth_Relay1_Mars
78,100077,Direct_Earth_to_Mars,Earth_Relay0_Mars
78,100077,Direct_Earth_to_Mars,Earth_Relay1_Mars
78,100077,Direct_Earth_to_Mars,Earth_Relay2_Mars
78,100077,Earth_Relay1_Mars,Earth_Relay0_Mars
78,100077,Earth_Relay2_Mars,Earth_Relay0_Mars
79,100078,Direct_Earth_to_Mars,Earth_Relay0_Mars
79,100078,Direct_Earth_to_Mars,Earth_Relay1_Mars
79,100078,Direct_Earth_to_Mars,Earth_Relay2_Mars
79,100078,Earth_Relay0_Mars,Earth_Relay1_Mars
79,100078,Earth_Relay2_Mars,Earth_Relay0_Mars
79,100078,Earth_Relay2_Mars,Earth_Relay1_Mars
80,100079,Direct_Earth_to_Mars,Earth_Relay0_Mars
80,100079,Direct_Earth_to_Mars,Earth_Relay1_Mars
80,100079,Direct_Earth_to_Mars,Earth_Relay2_Mars
80,100079,Earth_Relay0_Mars,Earth_Relay1_Mars
80,100079,Earth_Relay2_Mars,Earth_Relay1_Mars
81,100080,Direct_Earth_to_Mars,Earth_Relay0_Mars
81,100080,Direct_Earth_to_Mars,Earth_Relay1_Mars
81,100080,Direct_Earth_to_Mars,Earth_Relay2_Mars
81,100080,Earth_Relay0_Mars,Earth_Relay1_Mars
81,100080,Earth_Relay2_Mars,Earth_Relay0_Mars
81,100080,Earth_Relay2_Mars,Earth_Relay1_Mars
82,100081,Direct_Earth_to_Mars,Earth_Relay0_Mars
82,100081,Direct_Earth_to_Mars,Earth_Relay1_Mars
82,100081,Direct_Earth_to_Mars,Earth_Relay2_Mars
82,100081,Earth_Relay1_Mars,Earth_Relay0_Mars
83,100082,Direct_Earth_to_Mars,Earth_Relay0_Mars
83,100082,Direct_Earth_to_Mars,Earth_Relay1_Mars
83,100082,Direct_Earth_to_Mars,Earth_Relay2_Mars
83,100082,Earth_Relay0_Mars,Earth_Relay1_Mars
83,100082,Earth_Relay2_Mars,Earth_Relay0_Mars
83,100082,Earth_Relay2_Mars,Earth_Relay1_Mars
84,100083,Direct_Earth_to_Mars,Earth_Relay0_Mars
84,100083,Direct_Earth_to_Mars,Earth_Relay1_Mars
84,100083,Direct_Earth_to_Mars,Earth_Relay2_Mars
84,100083,Earth_Relay1_Mars,Earth_Relay0_Mars
84,100083,Earth_Relay2_Mars,Earth_Relay0_Mars
85,100084,Direct_Earth_to_Mars,Earth_Relay0_Mars
85,100084,Direct_Earth_to_Mars,Earth_Relay1_Mars
85,100084,Direct_Earth_to_Mars,Earth_Relay2_Mars
85,100084,Earth_Relay0_Mars,Earth_Relay1_Mars
85,100084,Earth_Relay2_Mars,Earth_Relay0_Mars
85,100084,Earth_Relay2_Mars,Earth_Relay1_Mars
86,100085,Direct_Earth_to_Mars,Earth_Relay0_Mars
86,100085,Direct_Earth_to_Mars,Earth_Relay1_Mars
86,100085,Direct_Earth_to_Mars,Earth_Relay2_Mars
86,100085,Earth_Relay0_Mars,Earth_Relay1_Mars
87,100086,Direct_Earth_to_Mars,Earth_Relay0_Mars
88,100087,Direct_Earth_to_Mars,Earth_Relay0_Mars
88,100087,Direct_Earth_to_Mars,Earth_Relay1_Mars
88,100087,Direct_Earth_to_Mars,Earth_Relay2_Mars
88,100087,Earth_Relay0_Mars,Earth_Relay1_Mars
89,100088,Direct_Earth_to_Mars,Earth_Relay0_Mars
89,100088,Direct_Earth_to_Mars,Earth_Relay1_Mars
89,100088,Direct_Earth_to_Mars,Earth_Relay2_Mars
89,100088,Earth_Relay0_Mars,Earth_Relay1_Mars
89,100088,Earth_Relay2_Mars,Earth_Relay0_Mars
89,100088,Earth_Relay2_Mars,Earth_Relay1_Mars
90,100089,Direct_Earth_to_Mars,Earth_Relay0_Mars
90,100089,Direct_Earth_to_Mars,Earth_Relay1_Mars
90,100089,Direct_Earth_to_Mars,Earth_Relay2_Mars
90,100089,Earth_Relay0_Mars,Earth_Relay1_Mars
90,100089,Earth_Relay2_Mars,Earth_Relay1_Mars
91,100090,Direct_Earth_to_Mars,Earth_Relay0_Mars
91,100090,Direct_Earth_to_Mars,Earth_Relay1_Mars
91,100090,Direct_Earth_to_Mars,Earth_Relay2_Mars
91,100090,Earth_Relay0_Mars,Earth_Relay1_Mars
91,100090,Earth_Relay2_Mars,Earth_Relay0_Mars
91,100090,Earth_Relay2_Mars,Earth_Relay1_Mars
92,100091,Direct_Earth_to_Mars,Earth_Relay0_Mars
92,100091,Direct_Earth_to_Mars,Earth_Relay1_Mars
92,100091,Direct_Earth_to_Mars,Earth_Relay2_Mars
92,100091,Earth_Relay0_Mars,Earth_Relay1_Mars
92,100091,Earth_Relay2_Mars,Earth_Relay0_Mars
