Trial,Seed,Policy,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Link_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
6,100005,B4,200,174,0,26,26,0,0.87,178176,1051.0231773920505
60,100059,B1,200,170,0,30,30,0,0.84999999999999998,174080,1359.8949038974304
60,100059,B2,200,170,0,30,30,0,0.84999999999999998,174080,1359.8949038974304
60,100059,B3,200,170,0,30,30,0,0.84999999999999998,174080,1359.8949038974304
60,100059,B4,200,170,0,30,30,0,0.84999999999999998,174080,1359.8949038974304
61,100060,B1,200,171,0,29,29,0,0.85499999999999998,175104,1367.870350159247
61,100060,B2,200,171,0,29,29,0,0.85499999999999998,175104,1367.870350159247
61,100060,B3,200,171,0,29,29,0,0.85499999999999998,175104,1367.870350159247
61,100060,B4,200,171,0,29,29,0,0.85499999999999998,175104,1367.870350159247
62,100061,B1,200,161,0,39,39,0,0.80500000000000005,164864,1322.8760712819644
62,100061,B2,200,161,0,39,39,0,0.80500000000000005,164864,1322.8760712819644
62,100061,B3,200,161,0,39,39,0,0.80500000000000005,164864,1322.8760712819644
62,100061,B4,200,161,0,39,39,0,0.80500000000000005,164864,1322.8760712819644
63,100062,B1,200,179,0,21,21,0,0.89500000000000002,183296,782.76235185122516
63,100062,B2,200,179,0,21,21,0,0.89500000000000002,183296,782.76235185122516
63,100062,B3,200,179,0,21,21,0,0.89500000000000002,183296,782.76235185122516
63,100062,B4,200,179,0,21,21,0,0.89500000000000002,183296,782.76235185122516
64,100063,B1,200,179,0,21,21,0,0.89500000000000002,183296,1104.5784646017994
