Trial,Seed,Scenario,B1_Route,B4_Route,B1_Reliability,B4_Reliability,Reliability_Difference,B1_Delivered_Bits,B4_Delivered_Bits,Delivered_Bits_Difference,B1_Mean_Latency_s,B4_Mean_Latency_s,Latency_Difference_s,B1_Contact_Failures,B4_Contact_Failures,Contact_Failure_Difference,B1_Optical_Failures,B4_Optical_Failures,Optical_Failure_Difference
180,1000179,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.82999999999999996,0.82999999999999996,0,169984,169984,0,595.25920727831635,595.25920727831635,0,34,34,0,0,0,0
181,1000180,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.995,0.995,0,203776,203776,0,412.29103446766266,412.29103446766266,0,1,1,0,0,0,0
181,1000180,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.995,0.995,0,203776,203776,0,412.29103446766266,412.29103446766266,0,1,1,0,0,0,0
181,1000180,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.995,0.995,0,203776,203776,0,412.29103446766266,412.29103446766266,0,1,1,0,0,0,0
181,1000180,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.995,0.995,0,203776,203776,0,412.29103446766266,412.29103446766266,0,1,1,0,0,0,0
182,1000181,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85499999999999998,0.85499999999999998,0,175104,175104,0,819.13408745911511,819.13408745911511,0,29,29,0,0,0,0
182,1000181,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85499999999999998,0.85499999999999998,0,175104,175104,0,819.13408745911511,819.13408745911511,0,29,29,0,0,0,0
182,1000181,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.84499999999999997,0.84499999999999997,0,173056,173056,0,819.13408745911499,819.13408745911499,0,29,29,0,2,2,0
182,1000181,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.67500000000000004,0.67500000000000004,0,138240,138240,0,885.07266616725235,885.07266616725235,29,65,36,171,0,-171
183,1000182,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.96499999999999997,0.96499999999999997,0,197632,197632,0,1278.9040713521749,1278.9040713521749,0,7,7,0,0,0,0
183,1000182,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.95499999999999996,0.95499999999999996,0,195584,195584,0,1278.9040713521749,1278.9040713521749,0,7,7,0,2,2,0
183,1000182,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.94999999999999996,0.94999999999999996,0,194560,194560,0,1345.5060866517235,1345.5060866517235,7,10,3,193,0,-193
183,1000182,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.94999999999999996,0.94999999999999996,0,194560,194560,0,1345.5060866517235,1345.5060866517235,7,10,3,193,0,-193
184,1000183,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.92000000000000004,0.92000000000000004,0,188416,188416,0,1363.3077958539668,1363.3077958539668,0,16,16,0,0,0,0
184,1000183,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.81000000000000005,0.81000000000000005,0,165888,165888,0,1363.307795853967,1363.307795853967,0,16,16,0,22,22,0
184,1000183,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.82999999999999996,0.82999999999999996,0,169984,169984,0,1429.9787215289268,1429.9787215289268,16,34,18,184,0,-184
184,1000183,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.82999999999999996,0.82999999999999996,0,169984,169984,0,1429.9787215289268,1429.9787215289268,16,34,18,184,0,-184
185,1000184,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.82499999999999996,0.82499999999999996,0,168960,168960,0,377.36046968529274,377.36046968529274,0,35,35,0,0,0,0
185,1000184,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.82499999999999996,0.82499999999999996,0,168960,168960,0,377.36046968529274,377.36046968529274,0,35,35,0,0,0,0
185,1000184,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.82499999999999996,0.82499999999999996,0,168960,168960,0,377.36046968529274,377.36046968529274,0,35,35,0,0,0,0
185,1000184,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.82499999999999996,0.82499999999999996,0,168960,168960,0,377.36046968529274,377.36046968529274,0,35,35,0,0,0,0
186,1000185,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.81000000000000005,0.81000000000000005,0,165888,165888,0,1201.066336379243,1201.066336379243,0,38,38,0,0,0,0
186,1000185,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.81000000000000005,0.81000000000000005,0,165888,165888,0,1201.066336379243,1201.066336379243,0,38,38,0,0,0,0
186,1000185,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.68000000000000005,0.68000000000000005,0,139264,139264,0,1267.5758665154272,1267.5758665154272,38,64,26,162,0,-162
186,1000185,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.68000000000000005,0.68000000000000005,0,139264,139264,0,1267.5758665154272,1267.5758665154272,38,64,26,162,0,-162
187,1000186,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.80500000000000005,0.80500000000000005,0,164864,164864,0,800.54080980271112,800.54080980271112,0,39,39,0,0,0,0
187,1000186,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.80500000000000005,0.80500000000000005,0,164864,164864,0,800.54080980271112,800.54080980271112,0,39,39,0,0,0,0
187,1000186,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.80500000000000005,0.80500000000000005,0,164864,164864,0,800.54080980271112,800.54080980271112,0,39,39,0,0,0,0
187,1000186,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.73499999999999999,0.73499999999999999,0,150528,150528,0,866.4544323398303,866.4544323398303,39,53,14,161,0,-161
