Configuration_ID,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,Packet_Bits,PPM_Order,Background_Photons_Per_Slot,Photon_Gain_Factor,Route_Name,Total_Worlds,Available_Worlds,Certified_Worlds,All_Available_Worlds_Certified,Minimum_Scaled_Bottleneck_Photons_Per_Slot,Worst_Log10_Route_Packet_Failure_Upper_Bound,Mean_Route_Packet_Success_Lower_Bound_Available
4,10,0.29999999999999999,0.29999999999999999,250000,8192,16,4,20.249999999999993,Earth_Relay1_Mars,100,91,5,0,3.0743700481543494,0,0.11797576193350076
4,10,0.29999999999999999,0.29999999999999999,250000,8192,16,4,20.249999999999993,Earth_Relay2_Mars,100,92,14,0,2.8586411873236499,0,0.2121008867884209
5,10,0.29999999999999999,0.29999999999999999,500000,1024,16,4,10.124999999999996,Direct_Earth_to_Mars,100,100,7,0,1.4366148413590498,0,0.11545978594744696
5,10,0.29999999999999999,0.29999999999999999,500000,1024,16,4,10.124999999999996,Earth_Relay0_Mars,100,94,12,0,1.407709831041158,0,0.21720537410601243
5,10,0.29999999999999999,0.29999999999999999,500000,1024,16,4,10.124999999999996,Earth_Relay1_Mars,100,91,0,0,1.5371850240771747,0,0.025897499232822075
5,10,0.29999999999999999,0.29999999999999999,500000,1024,16,4,10.124999999999996,Earth_Relay2_Mars,100,92,7,0,1.429320593661825,0,0.11883274328892905
6,10,0.29999999999999999,0.29999999999999999,500000,2048,16,4,10.124999999999996,Direct_Earth_to_Mars,100,100,7,0,1.4366148413590498,0,0.10949539918260394
6,10,0.29999999999999999,0.29999999999999999,500000,2048,16,4,10.124999999999996,Earth_Relay0_Mars,100,94,10,0,1.407709831041158,0,0.21178671569269084
6,10,0.29999999999999999,0.29999999999999999,500000,2048,16,4,10.124999999999996,Earth_Relay1_Mars,100,91,0,0,1.5371850240771747,0,0.018827965498611182
6,10,0.29999999999999999,0.29999999999999999,500000,2048,16,4,10.124999999999996,Earth_Relay2_Mars,100,92,7,0,1.429320593661825,0,0.11810026918655379
7,10,0.29999999999999999,0.29999999999999999,500000,4096,16,4,10.124999999999996,Direct_Earth_to_Mars,100,100,7,0,1.4366148413590498,0,0.10899079836520788
7,10,0.29999999999999999,0.29999999999999999,500000,4096,16,4,10.124999999999996,Earth_Relay0_Mars,100,94,6,0,1.407709831041158,0,0.2108074739385731
7,10,0.29999999999999999,0.29999999999999999,500000,4096,16,4,10.124999999999996,Earth_Relay1_Mars,100,91,0,0,1.5371850240771747,0,0.0062993941804222768
7,10,0.29999999999999999,0.29999999999999999,500000,4096,16,4,10.124999999999996,Earth_Relay2_Mars,100,92,7,0,1.429320593661825,0,0.11663532098180325
8,10,0.29999999999999999,0.29999999999999999,500000,8192,16,4,10.124999999999996,Direct_Earth_to_Mars,100,100,7,0,1.4366148413590498,0,0.10798159673041578
8,10,0.29999999999999999,0.29999999999999999,500000,8192,16,4,10.124999999999996,Earth_Relay0_Mars,100,94,3,0,1.407709831041158,0,0.20884899043033781
8,10,0.29999999999999999,0.29999999999999999,500000,8192,16,4,10.124999999999996,Earth_Relay1_Mars,100,91,0,0,1.5371850240771747,0,0.00073851688338604665
8,10,0.29999999999999999,0.29999999999999999,500000,8192,16,4,10.124999999999996,Earth_Relay2_Mars,100,92,7,0,1.429320593661825,0,0.11370542457230211
9,10,0.29999999999999999,0.29999999999999999,1000000,1024,16,4,5.0624999999999982,Direct_Earth_to_Mars,100,100,0,0,0.71830742067952491,0,0.042191054340274821
