Trial,Seed,Experiment_Family,Design_Name,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,PPM_Order,Packet_Bits,Background_Photons_Per_Slot,Route_Name,Route_Available,Hop_Count,Total_Route_Distance_m,Bottleneck_Signal_Photons_Per_Slot,Phase12B_Probability,Log10_Symbol_Error_Upper_Bound,Log10_Route_Packet_Failure_Upper_Bound,Route_Packet_Success_Lower_Bound,Double_Precision_Saturated
1,100000,Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,4,Earth_Relay2_Mars,1,2,228003438045.67664,2.3060286045665941,0,0,0,0,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0,Direct_Earth_to_Mars,1,1,226224890899.86777,17.916112599472548,0.99996608016315802,-6.6047775800525717,-3.2934476277487792,0.99949119382632201,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0,Earth_Relay0_Mars,1,2,256781830927.78528,27.794318319105759,0.99999999825968189,-10.894827815194414,-7.2824678672266412,0.99999994781662871,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0,Earth_Relay1_Mars,0,2,346483690510.33167,12.812132567225492,0,0,0,0,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0,Earth_Relay2_Mars,1,2,228003438045.67664,17.793430590791619,0.99996165286669869,-6.5514974606536365,-2.9391375126858623,0.99884956393666402,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.01,Direct_Earth_to_Mars,1,1,226224890899.86777,17.916112599472548,0.99987846965712335,-6.2457095020324855,-2.9343795497286931,0.99883689090891037,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.01,Earth_Relay0_Mars,1,2,256781830927.78528,27.794318319105759,0.99999999109718374,-10.445508479429208,-6.8331485314614335,0.99999985315760187,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.01,Earth_Relay1_Mars,0,2,346483690510.33167,12.812132567225492,0,0,0,0,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.01,Earth_Relay2_Mars,1,2,228003438045.67664,17.793430590791619,0.99986332055260208,-6.1936899530056015,-2.5813300050378274,0.99737777475018852,0
1,100000,Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.10000000000000001,Direct_Earth_to_Mars,1,1,226224890899.86777,17.916112599472548,0.99912407051882324,-5.5257806412736858,-2.2144506889698929,0.99389691651144285,0
